symbol,date,open,high,low,close,volume
IMMP,2026-03-30,0.3526,0.3605,0.3457,0.35,499553.0
IMMP,2026-03-31,0.3502,0.3632,0.3433,0.351,593687.0
IMMP,2026-04-01,0.357,0.3907,0.3501,0.37,444742.0
IMMP,2026-04-02,0.3591,0.3671,0.3501,0.3615,227794.0
IMMP,2026-04-06,0.379,0.379,0.36,0.36,138030.0
IMMP,2026-04-07,0.3534,0.3615,0.341,0.3555,403162.0
IMMP,2026-04-08,0.366,0.3689,0.3452,0.3526,721960.0
IMMP,2026-04-09,0.34,0.34,0.319,0.3212,840624.0
IMMP,2026-04-10,0.3215,0.3293,0.3025,0.3131,831344.0
IMMP,2026-04-13,0.3209,0.3209,0.2928,0.3082,728351.0
IMMP,2026-04-14,0.3112,0.3192,0.3029,0.3148,477163.0
IMMP,2026-04-15,1.01,1.0499,0.5333,0.544,372180453.0
IMMP,2026-04-16,0.54,0.67,0.5239,0.5807,33719739.0
UCAR,2026-02-10,12.2,13.3,11.3,12.0,4265.5
UCAR,2026-02-11,11.9,12.387,11.5,12.0,3298.9
UCAR,2026-02-12,12.1,12.599,11.801,12.5,1441.6
UCAR,2026-02-13,12.4,13.9,12.3,13.7,1727.6
UCAR,2026-02-17,13.7,14.35,13.0,14.0,8830.8
UCAR,2026-02-18,14.0,14.4,13.2,14.0,9432.4
UCAR,2026-02-19,14.0,14.628,13.6,13.9,7441.5
UCAR,2026-02-20,13.9,15.3,13.3,15.2,14724.1
UCAR,2026-02-23,14.9,15.556,13.45,14.2,5015.1
UCAR,2026-02-24,14.173,15.1,14.173,14.9,3164.1
UCAR,2026-02-25,13.901,14.5,13.5,13.7,4809.3
UCAR,2026-02-26,13.8,14.7,13.7,14.4,1142.9
UCAR,2026-02-27,14.6,16.35,14.5,14.9,5269.7
UCAR,2026-03-02,14.2,14.94,14.1,14.3,400.6
UCAR,2026-03-03,13.9,14.3,12.2,13.5,1937.2
UCAR,2026-03-04,13.7,13.9,13.52,13.8,794.4
UCAR,2026-03-05,13.799,14.088,12.8,13.1,4295.4
UCAR,2026-03-06,13.85,14.55,13.6,14.0,7737.3
UCAR,2026-03-09,14.1,14.1,12.9,13.3,6684.1
UCAR,2026-03-10,8.262,8.411,7.0,7.104,39287.8
UCAR,2026-03-11,7.17,7.17,6.58,6.604,10966.4
UCAR,2026-03-12,6.601,6.601,5.501,5.54,12130.4
UCAR,2026-03-13,5.649,5.649,4.69,5.1,32948.8
UCAR,2026-03-16,4.805,4.805,4.437,4.438,18633.0
UCAR,2026-03-17,7.557,17.5,6.0,7.222,17075741.2
UCAR,2026-03-18,6.37,6.37,4.305,4.49,862605.2
UCAR,2026-03-19,1.465,1.893,1.45,1.568,3488689.4
UCAR,2026-03-20,1.77,1.898,1.5,1.633,3036467.1
UCAR,2026-03-23,1.5,1.565,1.29,1.302,1133651.9
UCAR,2026-03-24,1.13,1.209,1.07,1.146,1144282.6
UCAR,2026-03-25,1.02,1.075,0.9,0.962,773592.4
UCAR,2026-03-26,0.947,0.947,0.651,0.701,806132.8
UCAR,2026-03-27,0.806,0.84,0.538,0.583,6519417.0
UCAR,2026-03-30,0.517,0.571,0.489,0.543,984899.0
UCAR,2026-03-31,0.522,0.522,0.38,0.38,1105252.7
UCAR,2026-04-01,0.53,0.89,0.5,0.603,135656036.0
UCAR,2026-04-02,0.55,0.68,0.5346,0.6604,4068640.0
UCAR,2026-04-06,0.628,0.6296,0.5088,0.54,1648213.0
UCAR,2026-04-07,0.5499,0.5799,0.542,0.5514,785497.0
UCAR,2026-04-08,0.8765,2.39,0.8562,2.38,222975348.0
UCAR,2026-04-09,2.33,2.76,1.3516,1.64,28566563.0
UCAR,2026-04-10,1.8,2.78,1.71,2.33,44595859.0
UCAR,2026-04-13,1.92,2.03,1.65,1.88,3668468.0
UCAR,2026-04-14,1.65,2.08,1.51,1.51,3475410.0
UCAR,2026-04-15,1.47,1.518,1.26,1.36,1581470.0
UCAR,2026-04-16,1.29,1.34,1.1404,1.295,809236.0
AGX,2026-02-11,383.0,423.79,383.0,422.5,435194.0
AGX,2026-02-12,424.6,449.9,413.29,413.65,692576.0
AGX,2026-02-13,405.38,418.4,391.23,409.95,104422.0
AGX,2026-02-17,406.39,416.52,397.02,406.88,85678.0
AGX,2026-02-18,408.51,434.0,408.51,414.12,128790.0
AGX,2026-02-19,414.99,434.0,408.65,432.18,92970.0
AGX,2026-02-20,429.46,446.74,429.46,437.61,82192.0
AGX,2026-02-23,434.4,442.65,420.68,441.71,134243.0
AGX,2026-02-24,432.88,450.0,417.87,447.6,210349.0
AGX,2026-02-25,454.74,459.76,440.68,442.34,74781.0
AGX,2026-02-26,445.0,453.26,425.0,452.53,140522.0
AGX,2026-02-27,448.0,459.0,436.71,451.25,88852.0
AGX,2026-03-02,436.0,451.25,432.55,445.36,151079.0
AGX,2026-03-03,427.0,445.36,411.99,438.93,106201.0
AGX,2026-03-04,450.2,469.88,441.86,463.36,222739.0
AGX,2026-03-05,455.8,456.41,416.0,430.25,166604.0
AGX,2026-03-06,415.75,432.04,405.0,414.2,92699.0
AGX,2026-03-09,414.58,467.47,411.96,466.38,383715.0
AGX,2026-03-10,467.0,478.26,456.96,458.71,340263.0
AGX,2026-03-11,455.74,484.14,451.55,472.86,90532.0
AGX,2026-03-12,461.25,471.01,453.0,459.3,177562.0
AGX,2026-03-13,462.62,476.0,448.32,458.31,111490.0
AGX,2026-03-16,471.5,483.0,461.62,466.52,121879.0
AGX,2026-03-17,465.01,480.88,465.01,473.63,97665.0
AGX,2026-03-18,476.53,485.7,468.99,469.81,87689.0
AGX,2026-03-19,457.62,492.7,454.0,479.9,115880.0
AGX,2026-03-20,479.98,485.86,461.33,473.85,243308.0
AGX,2026-03-23,472.66,492.6,456.01,463.15,173693.0
AGX,2026-03-24,459.5,470.67,442.87,444.83,252767.0
AGX,2026-03-25,446.93,454.55,431.68,437.48,229583.0
AGX,2026-03-26,430.19,432.58,398.95,410.85,204802.0
AGX,2026-03-27,505.6,579.0,505.6,566.62,1007075.0
AGX,2026-03-30,570.57,588.0,500.92,513.98,323455.0
AGX,2026-03-31,523.77,545.0,506.59,544.65,184499.0
AGX,2026-04-01,549.2,578.41,546.76,571.38,176803.0
AGX,2026-04-02,554.59,579.73,547.32,575.16,102252.0
AGX,2026-04-06,583.78,587.66,565.13,572.31,93317.0
