symbol,scan_date,catalyst_type,catalyst_strength,gap_percentage,volume_ratio,quality_score,intraday_return,overnight_return,max_return_3d,close_price,volume,float_shares,short_ratio,short_percent,is_runner
IONZ,2025-10-21,TECHNICAL,0,0.03209876543209874,2.0,88.5,0.030075218970135712,0.046228722882787975,0.24330899452913493,4.110000133514404,45379000.0,108901572.0,,0.0,True
IONZ,2025-10-22,TECHNICAL,0,0.08029197080291972,1.86905,86.40480000000001,0.08372084667645624,-0.19313302283661227,-0.057939911967262364,4.659999847412109,47707700.0,108901572.0,,0.0,False
IONZ,2025-10-23,TECHNICAL,0,-0.18454935622317603,1.67085,83.2336,0.05851064605538045,-0.09547741523111326,0.04648239746054263,3.9800000190734863,82253600.0,108901572.0,,0.0,False
IONZ,2025-10-24,TECHNICAL,0,-0.060301507537688384,1.55847,81.43552000000001,0.061111120677288924,-0.08115181889974069,0.0903141451935469,3.819999933242798,40049300.0,108901572.0,,0.0,False
IONZ,2025-10-27,TECHNICAL,0,-0.10471204188481674,1.55503,81.38048,0.002849000139722797,0.0028409063970008027,0.18323863193792989,3.5199999809265137,44067800.0,108901572.0,,0.0,False
IONZ,2025-10-28,TECHNICAL,0,0.0738636363636363,2.0000090791062526,88.50014526570004,0.1756374303123763,-0.055421690069412555,-0.02650605565941924,4.150000095367432,39036300.0,108901572.0,,0.0,False
IONZ,2025-10-29,TECHNICAL,0,-0.1373493975903615,1.67893,83.36288,-0.08928574904060853,0.058823541197161815,0.12885162049504914,3.569999933242798,37516000.0,108901572.0,,0.0,False
IONZ,2025-10-30,TECHNICAL,0,0.03081232492997208,2.0,88.5,-0.029100501568359055,-0.02179840884510822,0.23106267900882319,3.6700000762939453,27532300.0,108901572.0,,0.0,True
IONZ,2025-10-31,TECHNICAL,0,-0.04359673024523165,2.0000095961001447,88.50015353760232,-0.05292474187867602,-0.0014706218531378057,0.3323529655133145,3.4000000953674316,24212100.0,108901572.0,,0.0,True
IONZ,2025-11-03,TECHNICAL,0,0.15000000000000008,1.52147,80.84352,0.12518408091428013,0.09162307569833708,0.18586394999301284,3.819999933242798,24090200.0,108901572.0,,0.0,False
IONZ,2025-11-04,TECHNICAL,0,0.08638743455497395,1.50178,80.52847999999999,0.07194237611725117,-0.06487695200553771,0.03803133876358786,4.46999979019165,29257700.0,108901572.0,,0.0,False
IONZ,2025-11-05,TECHNICAL,0,-0.04026845637583887,1.53125,81.0,-0.011961654533746213,-0.06537535396210103,0.12348661934933551,4.130000114440918,31692000.0,108901572.0,,0.0,False
IONZ,2025-11-06,TECHNICAL,0,-0.038740920096852226,1.83781,85.90496,-0.015544027049267965,0.09210530195870277,0.2210526117657688,3.799999952316284,48892900.0,108901572.0,,0.0,True
IONZ,2025-11-07,TECHNICAL,0,0.1394736842105264,1.51129,80.68064,-0.14457834440074266,0.02816905475897258,0.3605633770655696,3.549999952316284,49489000.0,108901572.0,,0.0,True
IONZ,2025-11-10,TECHNICAL,0,0.1042253521126761,1.58093,86.79487999999999,0.10136982901142515,0.024875598285331528,0.46517410309243135,4.019999980926514,32091300.0,108901572.0,,0.0,True
IONZ,2025-11-11,TECHNICAL,0,0.034825870646766316,2.0000094779542783,93.50015164726845,0.004854364437391164,-0.012077225968644616,0.5169083121588066,4.139999866485596,23473600.0,108901572.0,,0.0,True
IONZ,2025-11-12,TECHNICAL,0,0.07729468599033824,1.5653,86.5448,0.1491441647725312,0.04893617625687685,0.33617031163034283,4.699999809265137,27911300.0,108901572.0,,0.0,True
IONZ,2025-11-13,TECHNICAL,0,0.17021276595744678,1.54723,86.25568000000001,0.1501014753999895,0.10317460851417544,0.10758379635033721,5.670000076293945,37981900.0,108901572.0,,0.0,False
IONZ,2025-11-17,TECHNICAL,0,-0.03461538461538473,1.52422,85.88752,-0.04725897954684064,0.025793673695410423,0.28769837703173784,5.039999961853027,28427400.0,108901572.0,,0.0,True
IONZ,2025-11-19,TECHNICAL,0,0.038784067085953985,1.50056,85.50896,0.054852371611085964,-0.031999969482421876,0.45600004196166993,5.0,16357600.0,108901572.0,,0.0,True
IONZ,2025-11-20,TECHNICAL,0,0.09000000000000004,1.50608,85.59728,0.32644625493684076,-0.0919003342019395,0.133956405497561,6.420000076293945,35259500.0,108901572.0,,0.0,False
IONZ,2025-11-21,TECHNICAL,0,0.09190031152647973,1.54358,86.19727999999999,0.04974270422780352,-0.045751591210301555,-0.032679708007358255,6.119999885559082,36607900.0,108901572.0,,0.0,False
IOVA,2025-10-20,TECHNICAL,0,0.07798165137614675,1.50431,80.56896,0.04035870556032749,-0.012931022522848876,0.00862068168189925,2.319999933242798,20957800.0,338697042.0,5.9,0.3145,False
IOVA,2025-10-29,TECHNICAL,0,-0.06392694063926946,1.50679,80.60864000000001,-0.07407411086706321,-0.004999995231628418,0.10000002384185791,2.0,24478000.0,338697042.0,5.9,0.3145,False
IOVA,2025-11-03,FDA,10,0.13710659898477157,0.52142,49.56710933657819,-0.09722223601959315,-0.035897461918134886,0.28717945081320906,1.9500000476837158,50971600.0,338697042.0,5.9,0.3145,True
IOVA,2025-11-06,BREAKTHROUGH,10,0.24850828729281754,0.69697,50.720908926129916,0.022123872799678704,-0.02597400184666031,0.18614721965741624,2.309999942779541,83726600.0,338697042.0,5.9,0.3145,False
IOVA,2025-11-07,OTHER,3,-0.07320346320346331,0.56451,21.79588144636544,0.022222201029459637,0.05217396802848252,0.19130437667067934,2.299999952316284,29618700.0,338697042.0,5.9,0.3145,False
IOVA,2025-11-10,TECHNICAL,0,0.07195652173913053,1.50625,85.60000000000001,-0.020661235189477743,0.016877722448568985,0.15611820330969267,2.369999885559082,24145100.0,338697042.0,5.9,0.3145,False
IOVA,2025-11-11,OTHER,1,0.07725738396624474,0.52861,17.616710104263362,0.09958506265115713,-0.003773581171086827,0.026415068197607788,2.6500000953674316,26850000.0,338697042.0,5.9,0.3145,False
IPDN,2025-10-28,M&A,9,0.185672514619883,0.5159,46.55116532961745,-0.25365853318141224,-0.00653594160147165,0.21895427739300966,3.059999942779541,8293100.0,2823630.0,0.3,0.045100003,True
IPHA,2025-11-10,FDA,9,0.1041009463722398,0.78709,45.06557618296531,0.17948712619177193,-0.1260869425501397,-0.056521686398914306,2.299999952316284,10592800.0,60140336.0,0.46,0.0027,False
IQ,2025-11-18,EARNINGS,6,0.07804878048780495,0.96418,41.259427958248644,0.09547741523111326,0.0,0.05504581737815471,2.180000066757202,17594800.0,3610660956.0,7.48,0.1432,False
IRBT,2025-10-27,TECHNICAL,0,-0.35125448028673834,1.22972,81.24766666666667,-0.24074074982542953,0.0,0.0,3.690000057220459,17845900.0,26579706.0,2.35,0.39139998,False
IRWD,2025-11-10,EARNINGS,7,0.23296875000000014,0.52313,42.48889791979166,0.03688520986013233,-0.011857696335581787,0.3952569214657673,2.5299999713897705,20171800.0,118382878.0,2.64,0.066599995,True
